nombre,descripcion,tipo,id
Aeroméxico,"La aerolínea nacional más grande, con vuelos nacionales e internacionales.",Aerolínea,1
Volaris,Aerolínea de bajo costo con amplia cobertura nacional.,Aerolínea,2
Viva Aerobus,Otra aerolínea de bajo costo que opera rutas nacionales e internacionales.,Aerolínea,3
Interjet,"Ofrece vuelos nacionales e internacionales, aunque ha enfrentado dificultades financieras.",Aerolínea,4
Aeromar,Aerolínea regional que conecta ciudades pequeñas y medianas en México.,Aerolínea,5
ADO,"Líder en transporte de pasajeros en México, con rutas nacionales e internacionales.",Autobuses,6
Estrella Blanca,Ofrece servicios de autobuses de lujo y económicos a diversas ciudades.,Autobuses,7
Futura,"Parte del Grupo ADO, especializada en viajes de lujo y turismo.",Autobuses,8
Omnibus de México,Conectando múltiples destinos en el país con servicios de calidad.,Autobuses,9
Transportes del Norte,Proporciona servicios de transporte en diversas rutas nacionales.,Autobuses,10
